Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	MTP	CQCONF	Tm1
1	A1	FALSE	SCR D-2	ACTIN	UNKNOWN	SYBR	None	14.430	14.440	0.014								TRUE	0.226	TRUE	3	9	Amp		0.932	N	N	85.011
2	A2	FALSE	FTO D-2	ACTIN	UNKNOWN	SYBR	None	14.145	14.173	0.039								TRUE	0.226	TRUE	3	10	Amp		0.942	N	N	85.011
3	A3	FALSE	SCR D-2	Fto	UNKNOWN	SYBR	None	21.858	21.751	0.152								TRUE	0.363	TRUE	3	16	Amp		0.963	N	N	83.678
4	A4	FALSE	FTO D-2	Fto	UNKNOWN	SYBR	None	25.340	25.409	0.097								TRUE	0.363	TRUE	3	20	Amp		0.923	N	N	83.840
5	A5	FALSE	SCR D-2	PPAR-r	UNKNOWN	SYBR	None	29.123	29.020	0.145								TRUE	0.318	TRUE	3	24	Amp		0.928	Y	N	83.544
6	A6	FALSE	FTO D-2	PPAR-r	UNKNOWN	SYBR	None	29.977	29.782	0.276								TRUE	0.318	TRUE	3	25	Amp		0.931	Y	N	83.707
7	A7	FALSE	SCR D-2	FABP4	UNKNOWN	SYBR	None	23.355	23.343	0.018								TRUE	0.463	TRUE	3	17	Amp		0.924	N	N	83.715
8	A8	FALSE	FTO D-2	FABP4	UNKNOWN	SYBR	None	23.134	23.129	0.006								TRUE	0.463	TRUE	3	17	Amp		0.921	N	N	83.715
13	B1	FALSE	SCR D-2	ACTIN	UNKNOWN	SYBR	None	14.450	14.440	0.014								TRUE	0.226	TRUE	3	10	Amp		0.931	N	N	84.849
14	B2	FALSE	FTO D-2	ACTIN	UNKNOWN	SYBR	None	14.201	14.173	0.039								TRUE	0.226	TRUE	3	10	Amp		0.908	N	N	85.011
15	B3	FALSE	SCR D-2	Fto	UNKNOWN	SYBR	None	21.643	21.751	0.152								TRUE	0.363	TRUE	3	17	Amp		0.926	N	N	83.678
16	B4	FALSE	FTO D-2	Fto	UNKNOWN	SYBR	None	25.478	25.409	0.097								TRUE	0.363	TRUE	3	19	Amp		0.930	N	N	83.678
17	B5	FALSE	SCR D-2	PPAR-r	UNKNOWN	SYBR	None	28.918	29.020	0.145								TRUE	0.318	TRUE	3	23	Amp		0.929	Y	N	66.171
18	B6	FALSE	FTO D-2	PPAR-r	UNKNOWN	SYBR	None	29.587	29.782	0.276								TRUE	0.318	TRUE	3	24	Amp		0.928	Y	N	83.869
19	B7	FALSE	SCR D-2	FABP4	UNKNOWN	SYBR	None	23.330	23.343	0.018								TRUE	0.463	TRUE	3	18	Amp		0.928	N	N	83.715
20	B8	FALSE	FTO D-2	FABP4	UNKNOWN	SYBR	None	23.125	23.129	0.006								TRUE	0.463	TRUE	3	17	Amp		0.930	N	N	83.715
25	C1	FALSE	SCR D0	ACTIN	UNKNOWN	SYBR	None	15.089	15.022	0.095								TRUE	0.226	TRUE	3	10	Amp		0.915	N	N	84.686
26	C2	FALSE	FTO D0	ACTIN	UNKNOWN	SYBR	None	14.817	14.869	0.073								TRUE	0.226	TRUE	3	10	Amp		0.916	N	N	84.849
27	C3	FALSE	SCR D0	Fto	UNKNOWN	SYBR	None	21.426	21.359	0.095								TRUE	0.363	TRUE	3	16	Amp		0.919	N	N	83.678
28	C4	FALSE	FTO D0	Fto	UNKNOWN	SYBR	None	25.201	25.193	0.012								TRUE	0.363	TRUE	3	19	Amp		0.945	N	N	83.516
29	C5	FALSE	SCR D0	PPAR-r	UNKNOWN	SYBR	None	29.099	29.101	0.004								TRUE	0.318	TRUE	3	24	Amp		0.910	Y	N	83.544
30	C6	FALSE	FTO D0	PPAR-r	UNKNOWN	SYBR	None	25.768	25.764	0.005								TRUE	0.318	TRUE	3	20	Amp		0.937	N	N	83.869
31	C7	FALSE	SCR D0	FABP4	UNKNOWN	SYBR	None	24.138	24.073	0.091								TRUE	0.463	TRUE	3	18	Amp		0.924	N	N	83.715
32	C8	FALSE	FTO D0	FABP4	UNKNOWN	SYBR	None	22.767	22.756	0.015								TRUE	0.463	TRUE	3	17	Amp		0.935	N	N	83.715
37	D1	FALSE	SCR D0	ACTIN	UNKNOWN	SYBR	None	14.955	15.022	0.095								TRUE	0.226	TRUE	3	11	Amp		0.915	N	N	84.686
38	D2	FALSE	FTO D0	ACTIN	UNKNOWN	SYBR	None	14.921	14.869	0.073								TRUE	0.226	TRUE	3	11	Amp		0.917	N	N	84.849
39	D3	FALSE	SCR D0	Fto	UNKNOWN	SYBR	None	21.292	21.359	0.095								TRUE	0.363	TRUE	3	15	Amp		0.919	N	N	83.678
40	D4	FALSE	FTO D0	Fto	UNKNOWN	SYBR	None	25.184	25.193	0.012								TRUE	0.363	TRUE	3	19	Amp		0.928	N	N	83.678
41	D5	FALSE	SCR D0	PPAR-r	UNKNOWN	SYBR	None	29.104	29.101	0.004								TRUE	0.318	TRUE	3	23	Amp		0.907	Y	N	83.544
42	D6	FALSE	FTO D0	PPAR-r	UNKNOWN	SYBR	None	25.761	25.764	0.005								TRUE	0.318	TRUE	3	20	Amp		0.933	N	N	83.707
43	D7	FALSE	SCR D0	FABP4	UNKNOWN	SYBR	None	24.009	24.073	0.091								TRUE	0.463	TRUE	3	18	Amp		0.924	N	N	83.715
