Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	MTP	Tm1	Tm2	Tm3	Tm4
1	A1	FALSE	D0 #1	nanog	UNKNOWN	SYBR	None	19.706	19.637	0.097								TRUE	0.291	TRUE	3	14	Amp		0.921	N	81.943			
2	A2	FALSE	D0 #1	nanog	UNKNOWN	SYBR	None	19.568	19.637	0.097								TRUE	0.291	TRUE	3	14	Amp		0.921	N	81.943			
3	A3	FALSE	D0 #1	ACTIN	UNKNOWN	SYBR	None	14.810	14.760	0.071								TRUE	0.268	TRUE	3	9	Amp		0.945	N	85.327			
4	A4	FALSE	D0 #1	ACTIN	UNKNOWN	SYBR	None	14.710	14.760	0.071								TRUE	0.268	TRUE	3	9	Amp		0.926	N	85.327			
5	A5	FALSE	D0 #1	Nkx2-5	UNKNOWN	SYBR	None	31.233	31.066	0.235								TRUE	0.394	TRUE	3	25	Amp		0.918	N	86.686			
6	A6	FALSE	D0 #1	Nkx2-5	UNKNOWN	SYBR	None	30.900	31.066	0.235								TRUE	0.394	TRUE	3	25	Amp		0.919	N	86.686			
7	A7	FALSE	D0 #1	YTHDF2	UNKNOWN	SYBR	None	20.856	20.910	0.078								TRUE	0.438	TRUE	3	14	Amp		0.952	N	82.115			
8	A8	FALSE	D0 #1	YTHDF2	UNKNOWN	SYBR	None	20.965	20.910	0.078								TRUE	0.438	TRUE	3	15	Amp		0.936	N	82.115			
13	B1	FALSE	D2 #1	nanog	UNKNOWN	SYBR	None	20.536	20.447	0.125								TRUE	0.291	TRUE	3	15	Amp		0.898	N	81.779			
14	B2	FALSE	D2 #1	nanog	UNKNOWN	SYBR	None	20.359	20.447	0.125								TRUE	0.291	TRUE	3	15	Amp		0.909	N	81.779			
15	B3	FALSE	D2 #1	ACTIN	UNKNOWN	SYBR	None	15.014	15.004	0.014								TRUE	0.268	TRUE	3	10	Amp		0.891	N	85.163			
16	B4	FALSE	D2 #1	ACTIN	UNKNOWN	SYBR	None	14.994	15.004	0.014								TRUE	0.268	TRUE	3	10	Amp		0.916	N	85.163			
17	B5	FALSE	D2 #1	Nkx2-5	UNKNOWN	SYBR	None	29.577	29.626	0.070								TRUE	0.394	TRUE	3	23	Amp		0.905	N	86.523			
18	B6	FALSE	D2 #1	Nkx2-5	UNKNOWN	SYBR	None	29.675	29.626	0.070								TRUE	0.394	TRUE	3	23	Amp		0.902	N	86.523			
19	B7	FALSE	D2 #1	YTHDF2	UNKNOWN	SYBR	None	20.783	20.760	0.033								TRUE	0.438	TRUE	3	15	Amp		0.952	N	82.115			
20	B8	FALSE	D2 #1	YTHDF2	UNKNOWN	SYBR	None	20.737	20.760	0.033								TRUE	0.438	TRUE	3	14	Amp		0.943	N	82.115			
25	C1	FALSE	D4 #1	nanog	UNKNOWN	SYBR	None	22.022	21.989	0.047								TRUE	0.291	TRUE	3	16	Amp		0.933	N	81.779			
26	C2	FALSE	D4 #1	nanog	UNKNOWN	SYBR	None	21.956	21.989	0.047								TRUE	0.291	TRUE	3	16	Amp		0.910	N	81.779			
27	C3	FALSE	D4 #1	ACTIN	UNKNOWN	SYBR	None	13.795	13.821	0.038								TRUE	0.268	TRUE	3	9	Amp		0.924	N	85.163			
28	C4	FALSE	D4 #1	ACTIN	UNKNOWN	SYBR	None	13.848	13.821	0.038								TRUE	0.268	TRUE	3	9	Amp		0.913	N	85.163			
29	C5	FALSE	D4 #1	Nkx2-5	UNKNOWN	SYBR	None	27.121	27.068	0.075								TRUE	0.394	TRUE	3	21	Amp		0.909	N	86.523			
30	C6	FALSE	D4 #1	Nkx2-5	UNKNOWN	SYBR	None	27.015	27.068	0.075								TRUE	0.394	TRUE	3	21	Amp		0.910	N	86.523			
31	C7	FALSE	D4 #1	YTHDF2	UNKNOWN	SYBR	None	20.824	20.869	0.065								TRUE	0.438	TRUE	3	15	Amp		0.971	N	82.115			
32	C8	FALSE	D4 #1	YTHDF2	UNKNOWN	SYBR	None	20.915	20.869	0.065								TRUE	0.438	TRUE	3	15	Amp		0.979	N	82.115			
37	D1	FALSE	D8 #1	nanog	UNKNOWN	SYBR	None	25.959	25.940	0.027								TRUE	0.291	TRUE	3	20	Amp		0.910	N	81.615			
38	D2	FALSE	D8 #1	nanog	UNKNOWN	SYBR	None	25.922	25.940	0.027								TRUE	0.291	TRUE	3	19	Amp		0.912	N	81.615			
39	D3	FALSE	D8 #1	ACTIN	UNKNOWN	SYBR	None	13.974	13.992	0.026								TRUE	0.268	TRUE	3	9	Amp		0.908	N	85.163			
