Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	MTP	CQCONF	Tm1	Tm2	Tm3	Tm4
1	A1	FALSE	shScramble Day0	Reep3	UNKNOWN	SYBR	None	19.515	19.494	0.029								TRUE	0.165	TRUE	3	14	Amp		0.819	N	N	85.506			
2	A2	FALSE	shScramble Day0	Reep3	UNKNOWN	SYBR	None	19.473	19.494	0.029								TRUE	0.165	TRUE	3	15	Amp		0.891	N	N	85.506			
3	A3	FALSE	shScramble Day0	Actin	UNKNOWN	SYBR	None	13.579	13.608	0.04								TRUE	0.179	TRUE	3	9	Amp		0.83	N	N	84.831			
4	A4	FALSE	shScramble Day0	Actin	UNKNOWN	SYBR	None	13.636	13.608	0.04								TRUE	0.179	TRUE	3	10	Amp		0.875	N	N	84.831			
5	A5	FALSE	shScramble Day0	Ppargama	UNKNOWN	SYBR	None	28.934	29.02	0.121								TRUE	0.195	TRUE	3	24	Amp		0.805	Y	N	83.717	78.682		
6	A6	FALSE	shScramble Day0	Ppargama	UNKNOWN	SYBR	None	29.105	29.02	0.121								TRUE	0.195	TRUE	3	25	Amp		0.811	Y	N	83.717	78.682		
7	A7	FALSE	shScramble Day0	FABP4	UNKNOWN	SYBR	None	22.322	22.32	0.003								TRUE	0.309	TRUE	3	17	Amp		0.84	N	N	83.562			
8	A8	FALSE	shScramble Day0	FABP4	UNKNOWN	SYBR	None	22.318	22.32	0.003								TRUE	0.309	TRUE	3	17	Amp		0.831	N	N	83.562			
9	A9	FALSE	shScramble Day0	Adipoq	UNKNOWN	SYBR	None	28.954	28.763	0.271								TRUE	0.195	TRUE	3	24	Amp		0.805	Y	N	79.658	75.597	69.748	
10	A10	FALSE	shScramble Day0	Adipoq	UNKNOWN	SYBR	None	28.571	28.763	0.271								TRUE	0.195	TRUE	3	25	Amp		0.817	Y	N	79.658	75.434	69.098	
