Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	HIGHSD	OUTLIERRG	MTP	Tm1	Tm2	Tm3	Tm4
1	A1	FALSE	Control	GAPDH	UNKNOWN	SYBR	None	20.280	21.222	0.866								TRUE	0.346	TRUE	3	13	Amp		0.986	Y	N	N	85.638			
2	A2	FALSE	Control	GAPDH	UNKNOWN	SYBR	None	21.983	21.222	0.866								TRUE	0.346	TRUE	3	17	Amp		0.990	Y	N	N	85.475			
3	A3	FALSE	Control	GAPDH	UNKNOWN	SYBR	None	21.404	21.222	0.866								TRUE	0.346	TRUE	3	15	Amp		0.988	Y	N	N	85.754			
4	A4	FALSE	Control	YTHDF1	UNKNOWN	SYBR	None	24.520	25.068	0.491								TRUE	0.392	TRUE	3	19	Amp		0.993	N	N	N	80.895			
5	A5	FALSE	Control	YTHDF1	UNKNOWN	SYBR	None	25.468	25.068	0.491								TRUE	0.392	TRUE	3	18	Amp		0.989	N	N	N	80.762			
6	A6	FALSE	Control	YTHDF1	UNKNOWN	SYBR	None	25.215	25.068	0.491								TRUE	0.392	TRUE	3	19	Amp		0.989	N	N	N	80.762			
7	A7	FALSE	Control	YTHDF2	UNKNOWN	SYBR	None	25.041	25.056	0.033								TRUE	0.390	TRUE	3	19	Amp		0.989	N	N	N	82.240			
8	A8	FALSE	Control	YTHDF2	UNKNOWN	SYBR	None	25.094	25.056	0.033								TRUE	0.390	TRUE	3	19	Amp		0.983	N	N	N	82.240			
9	A9	FALSE	Control	YTHDF2	UNKNOWN	SYBR	None	25.034	25.056	0.033								TRUE	0.390	TRUE	3	19	Amp		0.987	N	N	N	82.399			
10	A10	FALSE	Control	YTHDF3	UNKNOWN	SYBR	None	25.131	25.254	0.114								TRUE	0.440	TRUE	3	17	Amp		0.987	N	N	N	80.776			
